MICOS10-DT	0	0	0
MICOS10-NBL1	0	0	0
MICOS10	200	0	200
RPS14P3	26	0	26
NBL1	1	0	1
HTR6	1	0	1
TMCO4	507	0	507
RNF186	0	0	0
RNF186-AS1	0	0	0
LOC105376823	0	0	0
OTUD3	288	0	288
PLA2G2E	0	0	0
PLA2G2A	0	0	0
PLA2G5	0	0	0
PLA2G2D	0	0	0
PLA2G2F	0	0	0
LOC117779438	0	0	0
PLA2G2C	0	0	0
UBXN10	0	0	0
LOC105376825	0	0	0
LOC105376826	0	0	0
LINC01757	0	0	0
LOC105376828	0	0	0
VWA5B1	0	0	0
LOC124903870	0	0	0
LINC01141	0	0	0
LOC124903871	0	0	0
CAMK2N1	150	0	150
MUL1	576	0	576
FAM43B	0	0	0
CDA	1049	0	1049
PINK1	403	28	1811
MIR6084	0	0	0
PINK1-AS	13	1414	35
DDOST	2952	11	2941
KIF17	3	0	3
SH2D5	29	2	27
HP1BP3	2666	0	2666
EIF4G3	1481	0	1481
LOC105376830	2	2	0
LOC105376829	0	0	0
MIR1256	0	0	0
ECE1	2220	1	2220
LOC124903872	0	0	0
ECE1-AS1	0	1	0
LOC105376832	0	0	0
NBPF3	36	0	36
ALPL	0	0	0
LINC02596	0	0	0
RAP1GAP	281	0	281
USP48	1220	0	1220
LDLRAD2	4	1650	0
HSPG2	4583	3	6226
CELA3B	0	0	0
CELA3A	0	0	0
LINC01635	7	7	0
LINC00339	110	0	110
CDC42	2346	0	2346
WNT4	2	1	1
LOC105376845	3	0	3
LOC105376850	4	1	3
LOC107985377	0	0	0
MIR4418	0	0	0
LOC105376856	0	0	0
ZBTB40	604	0	604
EPHA8	1	0	1
MIR6127	0	0	0
C1QA	0	0	0
C1QC	0	0	0
C1QB	0	0	0
EPHB2	41	0	43
MIR4684	0	0	0
MIR4253	0	2	0
LOC124903874	0	0	0
LACTBL1	0	0	0
TEX46	3	0	3
KDM1A	2417	16	2401
MIR3115	0	0	0
LUZP1	843	1	842
HTR1D	96	0	96
LINC01355	0	0	0
HNRNPR	0	0	0
ZNF436	0	0	0
ZNF436-AS1	0	0	0
TCEA3	0	0	0
LOC124903875	0	0	0
ASAP3	0	0	0
E2F2	1	0	2
LOC101928163	0	1	0
LOC124903876	0	0	0
LOC105376859	0	0	0
ID3	0	0	0
LOC107984928	3	0	3
MDS2	1	0	1
RPL11	8544	4	8540
ELOA	594	39	698
ELOA-AS1	8	108	43
PITHD1	450	0	450
LOC105376860	1	2	0
LYPLA2	1309	1	1309
GALE	1189	0	1189
HMGCL	447	0	447
LOC105376861	0	0	0
FUCA1	279	0	279
CNR2	0	0	0
MIR378F	0	0	0
LOC124903877	0	0	0
PNRC2	1579	1	1578
SRSF10	2423	1	2422
LOC105378615	0	0	0
LOC105376863	5	0	5
LOC107984931	0	0	1
MYOM3	17	1	17
MYOM3-AS1	0	0	0
LOC124903878	0	0	0
LOC105376864	0	0	0
IL22RA1	26	0	26
LOC124903879	0	0	0
IFNLR1	0	0	0
LINC02800	0	0	0
GRHL3-AS1	0	0	0
GRHL3	3	0	3
STPG1	109	1	117
NIPAL3	260	8	261
RCAN3AS	0	0	4
RCAN3	144	4	161
NCMAP-DT	0	17	0
NCMAP	1	1	0
SRRM1	2420	2	2418
LOC124904829	0	0	0
CLIC4	2370	0	2370
LOC105376876	0	0	0
RUNX3	81	0	81
MIR6731	0	0	0
RUNX3-AS1	5	2	3
MIR4425	0	0	0
LINC02793	0	0	0
LOC124903880	0	0	0
SYF2	543	0	543
LOC124903881	10	0	10
RSRP1	720	5	740
LOC105376882	1	0	1
RHD	9	34	0
TMEM50A	1201	1	1220
LOC124904823	0	0	0
RHCE	4	20	4
MACO1	409	0	409
LDLRAP1	715	1	714
MAN1C1	13	0	13
SELENON	1280	3	1277
MTFR1L	271	14	591
LOC646471	21	157	0
AUNIP	248	196	250
PAQR7	273	7	266
STMN1	3019	1	3018
MIR3917	0	0	0
LOC105376885	0	0	0
PAFAH2	185	0	185
LOC124900433	0	0	0
EXTL1	6	6	0
SLC30A2	0	0	0
LOC105376910	0	0	0
TRIM63	1	0	1
PDIK1L	129	1	128
FAM110D	36	0	36
C1orf232	0	0	0
ZNF593OS	0	315	0
ZNF593	3	0	318
CNKSR1	333	1	332
CATSPER4	0	0	0
LOC124903882	0	1	1
ZPLD2P	0	0	1
CEP85	503	2	502
