"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABRAXAS1",62.9986743825775,0.459706254390968,0.275392854499244,1.66927444514443,0.0950630023088141,0.352846711726932
"GPAT3",37.6360470853923,-0.713016959593011,0.330854307246625,-2.15507836523801,0.0311557023953266,0.18101966763548
"WDFY3",576.723911616785,0.378436330016912,0.14653661091323,2.58253775393372,0.00980766307139088,0.084616319461609
"WDFY3-AS2",9.62255535047401,-0.272644950454572,0.601419653177673,-0.453335618505347,0.650307088420022,NA
"ARHGAP24",160.401294246669,0.502866908888597,0.194587051092785,2.58427735075143,0.00975832871495484,0.0843642727872281
"LOC105377319",1.71496197911948,0.773122979088394,1.4389652033658,0.537277049702123,0.591076255929585,NA
"MAPK10",5.66431666989826,-0.0374221744705916,0.773865291761173,-0.0483574788390182,0.961431346604486,NA
"C4orf36",16.2377694548614,0.85403886060351,0.475738267135546,1.79518638629963,0.072624008749522,0.300798513747727
"AFF1-AS1",12.3773592183736,0.321099740662032,0.53863996102501,0.596130558250808,0.551088011291455,NA
"AFF1",1195.93384312013,-0.343174876725565,0.121759986049169,-2.81845364689006,0.00482555779750728,0.0508807137760638
"KLHL8",241.471415097476,0.0723100750871053,0.17906072307282,0.403829906671931,0.686337802771643,0.878632528095308
"HSD17B13",5.21000279170915,-0.452447831540863,0.833455695305057,-0.542857687684599,0.58722779061028,NA
"HSD17B11",453.011434361586,0.401103384339522,0.149682661971121,2.67969168277424,0.00736899991057507,0.0696529856862054
"NUDT9",554.922761520878,0.284602988824713,0.154234469984313,1.84526188506148,0.064999452097556,0.281095638439554
"SPARCL1",4.51429826370526,-0.789825790687304,0.953631538078137,-0.82822951963087,0.407540529046373,NA
"PKD2",386.839707864555,0.127680694007499,0.141045458964322,0.905244982327269,0.365335616191788,0.689919939359931
"ABCG2",1240.16575320517,-0.386667687970082,0.120001152386275,-3.22219978959392,0.00127210397887919,0.0190937514280813
"PPM1K",147.730729599458,0.432573794161664,0.201887168437066,2.14265125173871,0.0321411124757749,0.185460116437051
"HERC6",7.24706554298521,1.37622337176948,0.724096467745152,1.90060776854092,0.0573534072141212,NA
"LOC102723458",34.9597666817997,0.0941923877946295,0.352824643466993,0.266966578266921,0.789494894110248,0.921786951956625
